addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
D520,7,standalone,D520,7,D520,7,1,0x02,ptr_scan
D521,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E0D6,7,standalone,E0D6,7,E0D6,7,1,0x02,ptr_scan
D0CA,7,standalone,D0CA,7,D0CA,7,1,0x02,ptr_scan
D0CB,7,standalone,D0CB,7,D0CB,7,1,0x02,ptr_scan
D07E,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D07F,7,standalone,D07F,7,D07F,7,1,0x02,ptr_scan
F081,7,standalone,F081,7,F081,7,1,0x02,ptr_scan
D080,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DF8E,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E08D,7,secondary,E083,7,E083,7,1,0x02,ptr_scan
F6AF,7,standalone,F6AF,7,F6AF,7,1,0x02,ptr_scan
DE71,7,standalone,DE71,7,DE71,7,1,0x02,ptr_scan
DC4C,7,standalone,DC4C,7,DC4C,7,1,0x02,ptr_scan
DEDD,7,standalone,DEDD,7,DEDD,7,1,0x02,ptr_scan
DF6E,7,standalone,DF6E,7,DF6E,7,1,0x02,ptr_scan
F0E0,7,standalone,F0E0,7,F0E0,7,1,0x02,ptr_scan
F0E1,7,standalone,F0E1,7,F0E1,7,1,0x02,ptr_scan
F079,7,standalone,F079,7,F079,7,1,0x02,ptr_scan
F07A,7,standalone,F07A,7,F07A,7,1,0x02,ptr_scan
E113,7,standalone,E113,7,E113,7,1,0x02,ptr_scan
D079,7,standalone,D079,7,D079,7,1,0x02,ptr_scan
D07A,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
F68E,7,standalone,F68E,7,F68E,7,1,0x02,ptr_scan
E656,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
F07C,7,standalone,F07C,7,F07C,7,1,0x02,ptr_scan
D07B,7,standalone,D07B,7,D07B,7,1,0x02,ptr_scan
E09A,7,standalone,E09A,7,E09A,7,1,0x02,ptr_scan
E635,7,standalone,E635,7,E635,7,1,0x02,ptr_scan
E084,7,standalone,E084,7,E084,7,1,0x02,ptr_scan
E095,7,standalone,E095,7,E095,7,1,0x02,ptr_scan
E096,7,standalone,E096,7,E096,7,1,0x02,ptr_scan
D0E0,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E091,7,standalone,E091,7,E091,7,1,0x02,ptr_scan
E092,7,standalone,E092,7,E092,7,1,0x02,ptr_scan
CDE0,7,secondary,CDB4,7,CDB4,7,1,0x02,ptr_scan
CDE1,7,secondary,CDB4,7,CDB4,7,1,0x02,ptr_scan
DF8F,7,standalone,DF8F,7,DF8F,7,1,0x02,ptr_scan
E101,7,standalone,E101,7,E101,7,1,0x02,ptr_scan
F0C6,7,standalone,F0C6,7,F0C6,7,1,0x02,ptr_scan
E1EF,7,standalone,E1EF,7,E1EF,7,1,0x02,ptr_scan
E6E1,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E6E2,7,standalone,E6E2,7,E6E2,7,1,0x02,ptr_scan
D0B2,7,standalone,D0B2,7,D0B2,7,1,0x02,ptr_scan
D0B3,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E60A,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E158,7,standalone,E158,7,E158,7,1,0x02,ptr_scan
F040,7,standalone,F040,7,F040,7,1,0x02,ptr_scan
F041,7,standalone,F041,7,F041,7,1,0x02,ptr_scan
CF80,7,standalone,CF80,7,CF80,7,1,0x02,ptr_scan
F220,7,standalone,F220,7,F220,7,1,0x02,ptr_scan
D0F3,7,standalone,D0F3,7,D0F3,7,1,0x02,ptr_scan
E42F,7,standalone,E42F,7,E42F,7,4,0x02,ptr_scan
E430,7,standalone,E430,7,E430,7,1,0x02,ptr_scan
